Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,24.6,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,13.3,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,23.6,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,22.6,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,16.5,28.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,24.8,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Other,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,15.2,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,7.2,23.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,19.3,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,14.7,23.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,20.8,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 NC BRFSS (Mecklenburg Sample),,,,,15.2,26.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,12.4,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 NC BRFSS (Mecklenburg Sample),,,,,5.8,19.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,18.3,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,26.3,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,12.8,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 NC BRFSS (Mecklenburg Sample),,,,,7.7,17.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,14.6,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,28.7,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,21.8,35.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Asian/PI,21.9,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,9.0,34.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,39.3,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,19.4,59.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Other,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,28.1,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,19.6,36.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,20.3,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,12.4,28.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,25.1,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,38.7,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,27.2,50.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Other,19.7,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,17.4,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 NC BRFSS (Mecklenburg Sample),,,,,13.5,21.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,32.4,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,29.1,35.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,19.1,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,16.4,21.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,33.1,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,29.7,36.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,22.3,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,18.0,26.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,19.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,16.0,22.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,14.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,11.0,17.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,20.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,14.0,26.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,18.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,17.0,19.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,13.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,10.0,16.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,27.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,PA Eddie-->BRFSS ,,,,,22.0,32.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,32.2,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,17.1,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,28.2,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,22.4,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,26.9,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,15.3,"Phoenix, AZ",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Arizona BRFSS,,All Maricopa County,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,17.6,"Phoenix, AZ",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Arizona BRFSS,,All Maricopa County,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,14.7,"Phoenix, AZ",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Arizona BRFSS,,All Maricopa County,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,9.5,"Phoenix, AZ",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Arizona BRFSS,,All Maricopa County,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,21.4,"Phoenix, AZ",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Arizona BRFSS,,All Maricopa County,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,17.2,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,13.9,20.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Asian/PI,11.4,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,6.4,16.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,25.4,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, Boston Public Health Commission",Percent estimates for binge drinking  represent the percent of adults who consumed 5+ alcoholic drinks (for men) and 4+ alcoholic drink (for women ) on an occasion during the past month.  This survey is not conducted annually.,,,,23.2,27.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,American Indian/Alaska Native,28.3,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,American Indian alone,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Asian/PI,14.4,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,Does not include Pacific Islander,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,23.6,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,28.6,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Other,28.7,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,Native Hawaiian or other PI,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,28.1,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,21.4,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,21.5,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,27.2,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,14.9,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,12.1,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,32.1,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,32.8,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,12.5,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,9.0,16.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Asian/PI,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Hispanic,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Other,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,16.5,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,11.2,21.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,10.4,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,5.9,14.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,15.0,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2013.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,9.5,20.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,All,14.6,"San Jose, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Santa Clara County Public Health Department, Behavioral Risk Factor Surveillance Survey, 2013-14",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,19.1,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,14.5,23.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Female,All,8.2,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,6.0,10.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Male,All,33.1,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,White,28.4,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2013,Both,Black,15.7,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,11.1,21.6
